id,Tweet,Subjectivity,Polarity,Target
355,Our new  paper with   describes a novel chemical process for efficiently producing an… ,0.454545455,0.136363636,Positive
356,"Despite the broad range of diseases where eosinophils can play a central role, some healthcare providers may not re… ",0.28125,0.03125,Positive
357,We’re committed to advancing the understanding of the role of eosinophils in inflammatory diseases like severe asth… ,0,0,Neutral
358,We’re following the science to better understand the important role of eosinophils as key effector cells in a range… ,0.65,0.225,Positive
359,"We are collaborating with healthcare technology company,  to drive forward their ambition to simplify and de… ",0,0,Neutral
360,Our ambition is to help improve outcomes for the millions of people living with eosinophil-driven diseases like sev… ,0,0,Neutral
361,We're excited to announce a global collaboration with  to accelerate the development of digital health tools fo…,0.25,0.125,Positive
362,José Baselga participated in a panel for the AACRCovid and Cancer virtual meeting to discuss the impact of the… ,0,0,Neutral
363,Respiratory syncytial virus (RSV) is a significant cause of lower respiratory tract infection in infants and young… ,0.875,0.375,Positive
364,We envision a future in which signs of heartfailure are detected earlier. Our partnership with  may ena… ,0.3125,0,Neutral
365,Our dedicated employees across Operations are working at speed to expand manufacturing capacity for the potential… ,0,0,Neutral
366,"As the COVID-19 pandemic continues worldwide, it’s more important than ever that we ensure we’re protecting our mos… ",0.75,0.45,Positive
367,Collaboration in the lungcancer community is vital to improving outcomes for patients livingwithlungcancer. This… ,0.4,0.1,Positive
368,Transforming patient care worldwide on WLCD2020: The inaugural Initiatives in LungCancer Care awards span six con… ,0,0,Neutral
369,"Delighted to welcome Lord Bethell, Department for Health and Social Care’s Minister for Innovation, on his visit to… ",0.555555556,0.511111111,Positive
370,"Through our expansive efforts to address the COVID19 pandemic, our unique culture can be seen in action. In additi… ",0.55,0.2375,Positive
371,We have launched a new project with  as part of The Prince of Wales Global Sustainability Fellowship… ,0.227272727,0.068181818,Positive
372,"As we announce our first half results and company progress today, we are particularly proud of the continued supply… ",0.5,0.294444444,Positive
373,"Today we’re sharing results from a strong first half, in addition to progress made in our scientific pursuit to add… ",0.411111111,0.172222222,Positive
374,Preventing COPD exacerbations could have a life-changing impact. Here’s how we’re increasing our understanding of… ,0,0,Neutral
375,"During its first year, our Healthy Heart Africa program conducted over 275,800 blood pressure screenings in Ghana. This pa…",0.416666667,0.375,Positive
376,We are working tirelessly with the global respiratory community to improve the standard of care for COPD patients… ,0,0,Neutral
377,Antibody-drug conjugates (ADCs) are an exciting area of development in oncology. But how exactly do they deliver c… ,0.525,0.275,Positive
378,Heartfailure has a survival rate similar to some common cancers in both men (prostate &amp; bladder cancers) and women… ,0.45,-0.15,Negative
379,People who have experienced a heartattack are at a higher risk of a second attack than the general population and… ,0.475,0.275,Positive
380,We are collaborating with world leading experts to help develop a registry-based clinical trial (R-RCT) to gain lea… ,0,0,Neutral
381,Alicyn Campbell participated in 's NatlCancerForum panel on Patient-Facing Digital Technologies. Her chal… ,0,0,Neutral
382,"WHF Emerging Leader Dr Sarah Kraus explains the importance of improving awareness of heartfailure, following the public…",0.1,0,Neutral
383,"This week's ThoughtfulThursday is from medical oncologist and drug discoverer, Dr. Mika Sovak ! You can wa…",0,0,Neutral
384,COVID19 should never stop anyone from seeking help in an emergency. If you have symptoms of a heart attack or stro… ,0,0,Neutral
385,"Working with , we surveyed people and policymakers around the world to understand their awareness of heartf…",0,0,Neutral
386,Thanks to so many of our employees who brought the spirit of Pride to life this year through new and interactive w… ,0.384848485,0.278787879,Positive
387,Planning an exercise regime that can easily be done at home can make it easier for people with diabetes to manage b… ,0.833333333,0.433333333,Positive
388,Proud to announce our two outstanding  Lead2030 award winners - our YoungHealthProgramme friends Di… ,0.9375,0.65,Positive
389,Around 1 in 6 people with heartfailure with reduced ejection fraction (HFrEF) develop worsening HF within 18 month… ,0,0,Neutral
390,The fate of any cell is determined by the balance of pro-survival and pro-death proteins. We’re exploring the role… ,0,0,Neutral
391,"If poorly managed, hyperkalaemia can be a life-threatening complication for people with CKD or heartfailure. With… ",0.6,-0.4,Negative
392,"Talking COVID-19 vaccines 💉 :

The Duke of Cambridge visited the Oxford Vaccine Group today to learn about the progres…",0,0,Neutral
393,"Amidst COVID19, it is important for people with heart failure to continue to take measures to protect themselves,… ",0.65,0.041666667,Positive
394,"Despite progress in COPD management, challenges remain. Here’s how we’re advancing the science to improve COPD car… ",0,0,Neutral
395,Congratulations to Caireen Hargreaves! WE50 ,0,0,Neutral
396,"We’re joining leading experts at ATS2020 virtually to discuss the latest advances in science. During the pandemic,… ",0.9,0.5,Positive
397,"COPD is known to be a difficult area for R&amp;D, but our understanding of the science continues to evolve. With more t… ",0.75,0,Neutral
398,The impact of COPD exacerbations should not be underestimated. Hear from Colin and Stephanie on what it can really… ,0,0,Neutral
399,"During the current pandemic, those living with COPD may be particularly vulnerable. COPD is the third leading caus… ",0.3,-0.166666667,Negative
400,"We’re exploring Immuno-Oncology to drive scientific discovery, helping match the right treatment to the right patie… ",0.535714286,0.285714286,Positive
401,We all have a role to play to protect the vulnerable members of our community – such as those with cardiovascular d… ,0.5,-0.25,Negative
402,Digital and technology solutions are enabling R&amp;D to operate effectively during the COVID19 pandemic by keeping ou… ,0.4,0.3,Positive
403,Immuno-Oncology provides the body’s immune system with tools to help fight cancer and plays a significant role in g… ,0.875,0.375,Positive
404,Quarantine &amp; social distancing can make it difficult for type2diabetes patients to regulate glucose levels. With t… ,0.533333333,-0.233333333,Negative
405,Today we’re taking part in an important discussion with  to help drive a sustainable recovery from… ,1,0.4,Positive
406,"For patients with type2diabetes, the chances of developing kidney problems increase. And, with no cure for chronic… ",0,0,Neutral
407,People with T2D are twice as likely to develop cardiovascular disease but often remain on suboptimal regimens to… ,1,0,Neutral
408,"Despite current treatment options for patients with type-2 diabetes, risks of developing co-morbidities such as hea… ",0.45,0,Neutral
409,We have reached an agreement with the Inclusive Vaccines Alliance to supply up to 400 million doses of … ,0,0,Neutral
410,"We're excited for you to join our Virtual 80th Scientific Sessions, and we'll tweet updates throughout the meeting on…",0.75,0.375,Positive
411,"As congresses continue to shift to virtual formats, we value the opportunity to stay connected and share our scient… ",0,0,Neutral
412,NASH is rapidly becoming a leading cause of chronic liver disease. Our ambition is to halt and reverse the progress… ,0.85,0.45,Positive
413,Effective and tolerable therapies are needed for people living with chronic lymphocytic leukaemia (CLL). We’re taki… ,0.8,0.6,Positive
414,"Beyond Pride taking place each June, our efforts to cultivate an inclusive workplace culture for everyone, includi… ",0,0,Neutral
415,"With no known cure for CKD, it is increasingly important to work on prevention and potential treatment strategies… ",1,0.2,Positive
416,"In our ambition to discover and develop monoclonal antibodies that recognise, bind to and neutralise the SARS-CoV-2… ",0,0,Neutral
417,CKD is often not diagnosed until it is advanced. The timeliness of the diagnosis also affects the prevalence of co… ,0.6,0.4,Positive
418,"COVID19 has added another layer of complexity to kidney disease management. At ERAEDTA20, we’re asking HCPs to sh… ",0,0,Neutral
419,"For patients with chronic kidneydisease, cardiovascular disease is the leading cause of death. We are at… ",0,0,Neutral
420,"As the global burden of chronic kidney disease continues to grow, it requires partnerships to improve awareness, ex… ",0,0,Neutral
421,"As congresses move to virtual formats, it is important to continue working closely together in researching chronic… ",1,0.4,Positive
422,"📢 The Daily Congress Bulletin issue n. 2 is online! 
Read it here 
ERAEDTA20 eraedta congressbulleti…",0,0,Neutral
423,On WorldEnvironmentDay we show our commitment to a circular bioeconomy to support sustainable post-COVID-19 recove… ,0,0,Neutral
424,Living with immunology-driven diseases like lupus can place financial burdens on patients. People living with mode… ,0,0,Neutral
425,"We agree the time to act is now, to secure our future and to prosper by putting people and planet at the heart of g… ",0.3625,0.2,Positive
426,"Vaccines are one of our most effective public health tools 🔬
 
Today, we announced our partnership with  to s…",0.455555556,0.366666667,Positive
427,We’ve partnered with  to provide up to $383 million to support the manufacture of 300 million globally access…,0,0,Neutral
428,"To further provide broad and equitable access to  potential COVID19 vaccine, we've signed agreements w… ",0.604166667,0.020833333,Positive
429,"With few existing therapies, people living with lupus can experience many unmet needs. By following the science in… ",0.233333333,0.1,Positive
430,"We are collaborating with  to discover, develop &amp; commercialise RNA-modifying proteins, with the aim of u… ",0,0,Neutral
431,No form of racism is acceptable or can be tolerated. We stand for equality for all. CEO Pascal Soriot’s full messag… ,0.55,0.35,Positive
432,One of my absolute favorite moments in modern patient interaction happens when they come to clinic with their own https://…,0.8,0.375,Positive
433,"Managing lupus remains challenging, but research into the disease drivers is helping identify new approaches to he… ",0.727272727,0.318181818,Positive
434,"Active Therapy, or primary therapy, aims to eliminate cancer in the first instance. Maintenance Therapy aims to pre… ",0.477777778,0.172222222,Positive
435,Traditionally HER2 status has been categorised as either positive or negative based on the amount of HER2 protein… ,0.565151515,-0.024242424,Negative
436,"Now more than ever, the role of social media in quickly disseminating medical advances, and fostering transparent mean…",0.266666667,0.216666667,Positive
437,"ASCO20 is all virtual this year (starting today!), &amp; the twitter feed is likely to be a bit chaotic. For people paying atte…",0.55,0,Neutral
438,Surgery is the primary treatment for patients with early-stage non-small cell lungcancer (NSCLC). Despite treatmen… ,0.5,0.4,Positive
439,"The majority of lungcancer cases are non-small cell lung cancer (NSCLC). Globally, up to 40% are EGFR-mutated dis… ",0,0,Neutral
440,Our scientists are excited to share research programme updates at ASCO20. This science can be incredibly complex –… ,0.575,0.0375,Positive
441,"Currently, over 70% of women with advanced ovariancancer will relapse. As cancer progresses, the rate of recurrenc… ",0.5,0.2,Positive
442,SCLC spreads much faster than non-small cell lung cancer (NSCLC) and extensive-stage SCLC has a 5-year survival rat… ,0.2,0.2,Positive
443,Now more than ever we value the privilege to connect with ASCO20 attendees all over the world. As we prepare for t… ,0.5,0.5,Positive
444,"Today we announced a collaboration with  to develop a test for MRD in lungcancer, building on our comm… ",0,0,Neutral
445,"Thanks to   we’re proud to announce US commitments for  COVID19 vaccine, as we are work… ",0.6,0.5,Positive
446,Scientists recognise several factors that are associated with a higher risk of developing bladdercancer. Identifyi… ,0.25,0.125,Positive
447,"In a new  paper, our scientists describe novel AI based models that enable chemists and computers to… ",0.454545455,0.136363636,Positive
448,We are stronger together in the fight against COVID19. ’s UseYourHeart initiative is part of our ne… ,0,0,Neutral
449,"On World NFAwareness Day, we recognize the 2M+ people around the world that are living with neurofibromatosis (NF)… ",0,0,Neutral
450,We are expanding our Healthy Heart Africa programme into Uganda to tackle the growing burden of undiagnosed and unc… ,0.5,0.5,Positive
451,"As a part of our ongoing pursuit of innovative science, we’re exploring the central role of eosinophils - allowing… ",0.625,0.25,Positive
452,We look forward to continuing the important exchange of new oncology research at the ASCO20 Virtual Scientific Pr… ,0.727272727,0.268181818,Positive
453,Bladdercancer begins when healthy cells in the bladder lining change and grow uncontrollably. While it can often b… ,0.5,0.5,Positive
454,We are continuing to better understand the important role of eosinophils as key effector cells. This understanding… ,0.833333333,0.3,Positive
455,Today is WorldOvarianCancerDay and we stand with our partners to raise awareness of ovariancancer – the 8th most… ,0,0,Neutral
456,"Together with partners across industry, academia and government, we are taking a multipronged approach to helping p… ",0,0,Neutral
457,On GivingTuesdayNow we stand with our partners     in their efforts r… ,0,0,Neutral
458,We’re standingtogether4asthma with patients and the respiratory community during these times of uncertainty. Visit… ,0,0,Neutral
459,"Navigating asthma management is tough, especially with the abundance of information around COVID19. We want to ens… ",0.916666667,-0.194444444,Negative
460,We’re standing with the global respiratory community – both in the fight against COVID19 and in ensuring patients… ,0,0,Neutral
461,"Now more than ever, a deeper understanding of asthma management is needed. Learn from leading experts and  h… ",0.5,0.5,Positive
462,"José Baselga, EVP and President of Oncology R&amp;D, joined industry colleagues in a virtual press briefing organized b… ",0,0,Neutral
463,How can you tell if some cells in our body are bad? Jill Walker (Immuno-Oncology Diagnostic Development) dives into… ,0.666666667,-0.7,Negative
464,A COVID19 vaccine is crucial to helping overcome this global pandemic. That is why we are partnering with… ,0.5,0,Neutral
465,"In response to COVID19, teams across AstraZeneca have moved quickly to maintain continuity of care, contribute to… ",0.5,0.333333333,Positive
466,"Together with public research bodies and academic institutions, we are part of ACCORD, a new UK government-led init… ",0.173737374,0.045454545,Positive
467,Today we’re announcing results from a robust first quarter and our ongoing efforts to advance science in the fight… ,0.333333333,0.25,Positive
468,"Why aren’t all medicines taken as pills? Teresa Klinowska, Global Project Leader in Oncology, explains some of the… ",0,0,Neutral
469,". donates $1M lead gift to COVID Impacts Cancer, an emergency initiative powered by ConquerCancer &amp; …",0,0,Neutral
470,"Are all viruses bad? , a scientist &amp; VP Oncology Early Discovery, breaks down one of the most exciting… ",0.438888889,-0.063888889,Negative
471,Today kicks off the first AACR20 virtual annual meeting. We’re showcasing what the future holds for cancer treatm… ,0.229166667,0.125,Positive
472,LungCancer is an underlying condition that increases the potential for complications and risk with COVID19. A new… ,1,0,Neutral
473,"Clean and plentiful water is fundamental to human health, which is why we’ve begun a partnership with  t… ",0.4,0.183333333,Positive
474,We’re partnering with   to strengthen our current water stewardship activities and identify opportunitie… ,0.4,0,Neutral
475,We believe in the power of collaboration and we’re honored to be a part of this new partnership with  and… ,0.454545455,0.136363636,Positive
476,We're accelerating research on COVID19 therapies and partnering to boost testing to help patients in urgent need.… ,0,0,Neutral
477,"As healthcareworkers work to keep us all safe, we must do the same for them. Thanks to  we’re preparing …",0.275,0.233333333,Positive
478,"Coronavirus changes the rules in many aspects of our lives, including … cricket! While the lockdown continues, members of our…",0.5,0.625,Positive
479,"Our purpose keeps us focussed on what matters – delivering life-changing medicines. Our Executive Vice President, H… ",0,0,Neutral
480,"With an aim to decrease the impact of COVID19, our R&amp;D teams are working in collaboration with government and acad… ",0,0,Neutral
481,Since 2010 our YoungHealthProgramme with  has empowered young people worldwide to lead healthier lives and fight n…,0.4,0.1,Positive
482,"Together with  and , we have formed a collaboration to support the UK Government’s effort to boos… ",0,0,Neutral
483,"This week during a virtual broadcast , Special Envoy of the  Director-General on COVID-19, brought… ",0.571428571,0.357142857,Positive
484,The health and wellbeing of our employees and candidates is paramount to us at . During the COVID-19 pande…,0,0,Neutral
485,We thank  for pressing forward and delivering the science virtually for ACC20/WCCardio while ensuring… ,0,0,Neutral
486,"About 3 million people undergo PCI each year. By investigating ways to prevent future cardiovascular events, we ai… ",0.125,0,Neutral
487,"There is no known cure for chronic heart failure, except for heart transplantation. The data we are presenting duri… ",0.3,-0.316666667,Negative
488,"At this year’s ACC20/WCCardio virtual congress, we are presenting data addressing risk factors to help improve ou… ",0,0,Neutral
489,ACC20/WCCardio’s first ever virtual scientific sessions start tomorrow and we accept the challenge to continue sc… ,0.333333333,0.25,Positive
490,Companies around the world continue to bring the fight to COVID19 coronavirus.  has donated 9 million face masks to…,0,0,Neutral
491,"To help us create the next generation of therapeutics, we are collaborating with  to add an excitin… ",0,0,Neutral
492,"To support healthcare workers around the world fighting the COVID19 global pandemic, we are donating 9 million fac… ",0,0,Neutral
493,"With CKD, kidney function declines over time, increasing the risk of complications such as anaemia &amp; hyperkalaemia… ",0.5,0,Neutral
494,"Consistent with our values to follow the science, put patients first &amp; do the right thing, we're responding to the… ",0.373015873,0.261904762,Positive
495,"There are usually no symptoms of kidney disease in early stages, which means people may not realise they have it un… ",0.275,0.1125,Positive
496,On WorldKidneyDay we hear from patients such as  on what it means to live with chronic kidney dise… ,0.5,0.068181818,Positive
497,"The Budget2020 announcement today marks positive progress for the Cambridge (UK) South station, which will provide… ",0.545454545,0.227272727,Positive
498,Our YoungHealthProgramme is looking for remarkable young leaders in healthcare like 2019  scholar… ,0.575,0.425,Positive
499,"We’re working towards a future where everyone has access to sustainable healthcare, for treatment and prevention. I… ",0.125,0,Neutral
500,Future global health leaders needed. Apply for a YoungHealthProgramme scholarship to OYW2020 Summit in October.… ,0.0625,0,Neutral
501,"How will you help forge a gender equal world? Across AstraZeneca, we foster a culture of inclusion, diversity, and… ",0.25,0,Neutral
502,Employees have the right to work in in environments where they feel safe and empowered. As part of our approach to… ,0.517857143,0.392857143,Positive
503,"We asked employees, what does gender equality look like to you? Equal opportunities, richness of perspectives, bett… ",0.25,0,Neutral
504,Environmental factors impact the health of us all. We’re putting sustainable practices at the heart of how we work… ,0,0,Neutral
505,"A diverse and inclusive company culture is healthy, empowering and the most successful. We work towards gender equa… ",0.65,0.583333333,Positive
506,ClimateChange is now a climate crisis. It is impacting human health and the biosphere in increasingly severe ways.… ,0.1,0,Neutral
507,Our   YoungHealthProgramme scholarship is now open for applications to the OYW2020 summit. If you a… ,0.5,0,Neutral
508,"Featured in our 2019 Sustainability Report, AstraZeneca employees led a lake restoration programme to return water… ",0,0,Neutral
509,Sustainability at AstraZeneca is about using our capabilities to make the most meaningful impact where society nee… ,0.5,0.5,Positive
510,"📢Scholarship opportunity

Are you a young leader committed to addressing health &amp; wellbeing? 

We're collaborating with…",0.4,0.1,Positive
511,People are at the heart of everything we do this GiftedDay and every day. LCSM LVNGWith ,0,0,Neutral
512,"It's a leap year. Tomorrow we all get an extra day of life. 1,440 extra minutes. How will you spend your GiftedDay… ",0.1,0,Neutral
513,"Even after surviving a heartattack, patients often feel worried about experiencing another one. But support is ava… ",0,0,Neutral
514,The LVNG With Lung Cancer (LVNGWith) community connects &amp; activates people living with lungcancer and their loved… ,0,0,Neutral
515,"Any one sign of heartfailure, like fatigue, lack of appetite or confusion, may not be a cause for concern. But whe… ",0,0,Neutral
516,"These 6 startups were selected to join Microsoft and 's AI Factory for Health. 
 
…",0,0,Neutral
517,"“But since the heart attack, I know I’m not invincible.” After an initial event, many cardiovascular patients fear… ",0.25,0.25,Positive
518,"Our project with  and partners introduced biogas technology to the DungaBeach region in Kenya, with… ",0,0,Neutral
519,Our collaboration with  has allowed us to bring experts in both chronickidneydisease and machinelearning t…,0,0,Neutral
520,"Chronic kidney disease is a progressive condition in which kidney function declines over time, with no cure. Dr. S… ",0,0,Neutral
521,"Youth NCD advocates, including  and , share what drives them to work on NCDs in a new… ",0,0,Neutral
522,We know the best science doesn’t happen in isolation which is why we work collaboratively to fuel scientific discov… ,0.3,1,Positive
523,"Great to see our Cambridge (UK) home, the CBC, recognised as a LifeSciencesOpportunityZone. Partnership and collab… ",0.75,0.8,Positive
524,Untreated anaemia in chronic kidney disease can pose serious risks for patients. Dr. Steve Fishbane explains why. ,0.666666667,-0.333333333,Negative
525,"In our collaboration with , we’ve seen two teams become one, driven by a desire to make a difference.… ",0,0,Neutral
526,The health of our planet directly impacts the health of us all. In 2019 we put in place steps to accelerate our sus… ,0.4,0.1,Positive
527,Ridho is fighting NCDs in Indonesia where 33% of people 15 and older are smokers. Hear his story in a new… ,0.333333333,0.166666667,Positive
528,"AI has the potential to transform our R&amp;D. In collaboration with , we’re using machine learning and… ",1,0,Neutral
529,🎬 Meet Ishita and Afroj – Peer Educator Champions from our YoungHealthProgramme India inspiring the next generation to live he…,0.5,0.212121212,Positive
530,Thank you  for the third consecutive year recognising AstraZeneca as a TopEmployer in Europe. This cer… ,0,0,Neutral
531,We’re partnering with physicians to better understand the current gaps in managing chronic kidney disease and its… ,0.45,0.25,Positive
532,Our people are the key to our continued success. It was the individual and collective dedication of employees acros… ,0.466666667,0.1,Positive
533,"2019 was a year of continued progress - both in the innovative medicines we develop and deliver, and in the positiv… ",1,0.5,Positive
534,Today we’re announcing results from an exceptional 2019 – a year of innovation for patients. See the impact we’ve m… ,1,0.666666667,Positive
535,"For patients with heartfailure, the hospital may become a familiar place. We are working to help HCPs reduce hospi… ",0.5,0.375,Positive
536,"Any one symptom of heartfailure may not be enough for a diagnosis. And, when patients are diagnosed, it can be an… ",0.5,0,Neutral
537,"We have entered into 3 strategic partnerships with leading Singapore healthcare organisations to leverage AI,… ",0,0,Neutral
538,"Despite medical advances, heartfailure remains as life-threatening as some of the most common cancers in men (pros… ",0.333333333,0.066666667,Positive
539,Youth from our YoungHealthProgramme discuss fighting NCDs in a new  documentary series… ,0.227272727,0.068181818,Positive
540,Check out the  and  series TurningtheTide on NCDs to see our YoungHealthProgramme featu… ,0,0,Neutral
541,We're joining our friends in  on 15 February to talk directly with the LGBT+ STEM leaders of tomorro… ,0.4,0.1,Positive
542,"Our own Leila Bucary, AZ clinical researcher, recently joined students at a local MD middle school for our GenerationHe…",0.3125,0.15,Positive
543,"What inspires women at AstraZeneca to pursue science? 
“We’re working in a field that can give patients more time w… ",0.5,0.5,Positive
544,"Many paths lead people into STEM fields, but women tend to face barriers, such as biases, stigmas and stereotypes,… ",0.5,0.25,Positive
545,"Noncommunicable diseases are the world's biggest killers, but much of the suffering caused by these diseases can be redu…",0.2,0.2,Positive
546,‘What I really needed was the social and psychological support.’ Nick Hartshorne-Evans of  shares the… ,0.122222222,0.077777778,Positive
547,"We’re switching our global fleet to electric vehicles by 2030, but there’s a lack of models and long waiting lists.… ",0.2,-0.025,Negative
548,Read about the work we’re doing to break down the barriers between our most promising new drug candidates and their… ,0.435858586,0.17020202,Positive
549,Thank you to Cambridge-based  for letting me plant the first of their 25 million trees in Australia. Their £10…,0.333333333,0.25,Positive
550,"As an innovative, UK-headquartered life sciences company, our investment in Australia will help advance some of the… ",1,0.5,Positive
551,"Our AUD$200M investment in our North Ryde manufacturing facility in Sydney, announced today, will boost our capabil… ",0,0,Neutral
552,Thank you to all of our amazing apprentices for your commitment to building the next generation of scientific disco… ,0.45,0.3,Positive
553,"Following the devastation of the Australian bushfires, we are focusing phase one of AZ Forest on planting 25 millio… ",0.05,0,Neutral
554,"As we enter the climatedecade, we’re tackling climate change and air pollution as part of EV100 – read the new re… ",0.454545455,0.136363636,Positive
555,"""There are obstacles we face... such as access to the electric vehicles we’re going to bring into our fleet. So we’re put…",0.25,-0.025,Negative
556,"We’re committed to reaching zero carbon by 2025 in our operations, including switching to 100% electric vehicle fle… ",0,0,Neutral
557,Medicines are changing. The potential therapies of tomorrow promise to be different from those we see today. As a r… ,0.8,0,Neutral
558,In R&amp;D we aim to target any novel biology we uncover. Our scientists are committed to breaking down the barriers be… ,0.288888889,-0.155555556,Negative
559,"In 2015, we set an ambitious goal to deliver six new cancer medicines by 2020. This WorldCancerDay, we’re proud to… ",0.734848485,0.395454545,Positive
560,"On WorldCancerDay, we are proud to share José Baselga’s IAmAndIWill commitment. As our Global Head of Research &amp;… ",0.5,0.4,Positive
561,1 in 5 men and 1 in 6 women develop cancer during their lifetime. We all can help shine a light on this devastatin… ,0.7,0.4,Positive
562,Preserving natural resources is a key part of our Environmental Protection strategy. Our ongoing work mitigating cl… ,0.7,0.05,Positive
563,"Despite progress in screening, most livercancer patients are diagnosed at advanced stages when the disease is hard… ",0.55,0.45,Positive
564,"Insulin management, planning meals, staying active – these are daily activities many patients with diabetes have t… ",0.366666667,0.122222222,Positive
565,Hepatocellular carcinoma (HCC) is the most common type of livercancer. Its name refers to the cells in the liver… ,0.5,0.1,Positive
566,What does the future of predictive science look like? ‘Body-on-a-chip’or ‘disease-on-a-chip’ models could help refi… ,0.125,0,Neutral
567,"The number of patients with livercancer is predicted to rise. Nearly 850,000 new patients were diagnosed globally… ",0.427272727,0.118181818,Positive
568,"Two recent publications in  and , to which we were authors alongside  and… ",0.25,0,Neutral
569,Organ-Chip technology has the potential to enhance and accelerate our ability to translate science into innovative… ,1,0,Neutral
570,What is living with chronic kidney disease (CKD) really like? Many patients won’t experience any symptoms until th… ,0.35,0.35,Positive
571,"As with all cancers, the survival rate for prostatecancer decreases the later it is diagnosed. Being aware of the… ",0.125,0.125,Positive
572,We are honored to have earned a 100 percent score on the  CEI2020 and designated a ‘Best Place to Work for LGBTQ Eq…,0.3,1,Positive
573,Age is one of the key risk factors when it comes to prostatecancer with over 60% of cases diagnosed in men over 65… ,1,0,Neutral
574,Approximately 10% of prostatecancer patients are diagnosed once the cancer has spread to other parts of the body.… ,0.4875,-0.2625,Negative
575,If you want to answer the question - what proteins does my molecule bind to in cells take a look at this special issue of…,0.571428571,0.357142857,Positive
576,The number of men that die from prostatecancer every year is predicted to more than double by 2040. We are committ… ,0.25,0.25,Positive
577,"As a further step to help shape policy and find cross-industry solutions to rapidly decarbonise the global economy,… ",0.25,0,Neutral
578," The only limit is our willingness to act - and the time to act is now, says H.R.H. The Prince of Wales at wef20  h…",1,0,Neutral
579,"Thank you  for taking a stand for nature! We are honored to plant your trees for nature, people, and wildli…",0,0,Neutral
580,"Ambition Zero Carbon accelerates our existing carbon reduction commitments, doubling energy productivity and using… ",0,0,Neutral
581,"Although we are recognised as one of the world’s 100 most sustainable companies, we still have a lot of work to do.… ",0.5,0.5,Positive
582,"CEO Pascal Soriot: ""The tipping point was to do the right thing. I believe right now we are facing a climate crisis… ",0.535714286,0.285714286,Positive
583,Our YoungHealthProgramme is joining forces with  in a partnership to advocate for the prevention of non-com… ,0,0,Neutral
584,Urgency is needed in the fight against climate change. We are bringing forward our decarbonisation plans by more th… ,0.5,0.5,Positive
585,"Our Chairman Leif Johansson kicks off our presence at WEF20 in the panel ‘Health Data, The Good, Bad and Ugly’, st… ",0.755555556,-0.233333333,Negative
586,"We’re honoured to be one of 325 companies on this year’s  Gender-Equality Index. In 2020 and beyond, we’l… ",0,0,Neutral
587,Inclusion in the  Global 100 puts us in the top 1% of companies in the world for sustainability pe… ,0.25,0.25,Positive
588,Ovariancancer often goes undetected until it spreads into the pelvis and abdomen. Detecting and treating ovarian c… ,0,0,Neutral
589,"Earlier today,  , President of France, visited our operations facility in Dunkirk, to join our CEO P… ",0.5,0,Neutral
590,"Out of the thousands of companies that disclose their environmental data through , we’re in the top 2% that ear… ",0.5,0.5,Positive
591,"We continue to push for solutions in chronic kidney disease, from prevention to protection. Let’s help patients na… ",0,0,Neutral
592,"Ovariancancer is the 8th most common cancer in women, affecting approximately 300,000 women worldwide in 2018. Un… ",0.533333333,-0.066666667,Negative
593,We work to bring attention to the realities of living with cardiovascular disease and the opportunities to improve… ,0,0,Neutral
594,"Although the symptoms of ovariancancer are often attributed to less serious conditions, awareness of these sympto… ",0.366666667,-0.25,Negative
595,More research is needed in ovariancancer to improve the five-year survival rate which sits at approximately 48%. ,0.55,0.05,Positive
596,Does your idea have the power to transform the lives of people living with lungcancer? There are just 2 weeks left… ,0,0,Neutral
597,Thank you  for your visit! We appreciated the interesting discussions around innovation across sectors… ,0.3,0.35,Positive
598,"We’re at JPM20 and BiotechShowcase, where Chris Sheldon (VP, Global Head of Business Development &amp; Licensing), pa… ",0,0,Neutral
599,"“I really didn’t see it coming. I thought it was a natural thing, getting tired with age.” Heartfailure is a life-… ",0.433333333,-0.033333333,Negative
600,"Next week at the JPM20 biotechshowcase, Chris Sheldon will be a panellist alongside biotech executives and analys… ",0,0,Neutral
601,"We extend our gratitude to all those aiding in the recovery efforts for the bushfire crisis in Australia, includin… ",0,0,Neutral
602,Our OpenInnovation programme is looking for new areas where we can help academic scientists accelerate their resea… ,0.227272727,0.068181818,Positive
603,"What are we looking for in an OpenInnovation partner? In this new video, our experts reveal how you can access our… ",0.454545455,0.136363636,Positive
604,"“For me, a walk in a park is a way of trying to make things right, but at the same time, its full of reminders of w… ",0.403571429,0.211904762,Positive
605,ILC2 is funding programs worldwide that close gaps in the patient experience of lungcancer care worldwide – but th… ,0,0,Neutral
606,"To address the unmet need in heartfailure care, we strive to better understand the patient experience - only then… ",0.75,0.25,Positive
607,"Applications close in 48 hours for Lead2030, the world’s largest grant funding for young leaders (under 30) with p… ",0.4,0.1,Positive
608,There's only ONE week left to apply for Lead2030: the world's biggest prize fund for youngleaders making an impact on…,0.5,0,Neutral
609,Thankful for all of our employees who gave back through volunteerism in 2019. We value partnering with local organi… ,0,0,Neutral
610,"We’re wrapping up 2019 with over 2,000 active partnerships in R&amp;D across academia, biotech and industry. These coll… ",0.6,-0.133333333,Negative
611,"Our people drive our science, and as we head into 2020 our R&amp;D teams are now 10,000 people strong - all with a cont… ",0.733333333,0.433333333,Positive
612,‘Open Innovation’ partnerships where scientists from the private and public sector work side by side is critically… ,0.313888889,0,Neutral
